No,Nama_File,Waktu_Inferensi_ms,ID_Objek,Kelas_Prediksi,Confidence,BBox_xyxy,Sudut_Aktual_deg,Sudut_Ref_deg,Deviasi_deg,Koreksi_Servo_deg,Arah_Servo,Status_QC,Aksi_Sistem,Perintah_UART
1,BU08CB-1_PNG.rf.a92758068bea3b63846fabba5f91a205.jpg,445.4,1,Bukan_Elco,0.889,"[1455,473,1799,622]",0.0,0.0,+0.0,+0.0,DIAM,BUKAN ELCO (REJECT),ABAIKAN / REJECT,"K0,S0.0,R0.0"
2,BU0BA0-1_PNG.rf.3219f35d54a322fdbc31edfd12a5b1ec.jpg,238.2,1,Bukan_Elco,0.919,"[1603,325,1810,486]",0.0,0.0,+0.0,+0.0,DIAM,BUKAN ELCO (REJECT),ABAIKAN / REJECT,"K0,S0.0,R0.0"
3,BU1604-1_PNG.rf.651d60657a4f592b6896ec489b7cf592.jpg,219.9,1,Bukan_Elco,0.931,"[1065,74,1268,187]",0.0,0.0,+0.0,+0.0,DIAM,BUKAN ELCO (REJECT),ABAIKAN / REJECT,"K0,S0.0,R0.0"
4,BU2726-1_PNG.rf.dcc9e06204c92c45fcc78bc0635b98df.jpg,233.6,1,Bukan_Elco,0.587,"[1000,1,1141,329]",0.0,0.0,+0.0,+0.0,DIAM,BUKAN ELCO (REJECT),ABAIKAN / REJECT,"K0,S0.0,R0.0"
5,BU2886-1_PNG.rf.e3c35e915e59d4969d91b9987e441062.jpg,217.2,1,Bukan_Elco,0.920,"[110,150,459,311]",0.0,0.0,+0.0,+0.0,DIAM,BUKAN ELCO (REJECT),ABAIKAN / REJECT,"K0,S0.0,R0.0"
6,BU2A87-1_PNG.rf.969514c60d1fc51d9191684e68504587.jpg,269.3,1,Bukan_Elco,0.681,"[50,4,1589,891]",0.0,0.0,+0.0,+0.0,DIAM,BUKAN ELCO (REJECT),ABAIKAN / REJECT,"K0,S0.0,R0.0"
7,BU2A87-1_PNG.rf.969514c60d1fc51d9191684e68504587.jpg,269.3,2,Bukan_Elco,0.376,"[35,10,1701,900]",0.0,0.0,+0.0,+0.0,DIAM,BUKAN ELCO (REJECT),ABAIKAN / REJECT,"K0,S0.0,R0.0"
8,BU33C1-1_PNG.rf.86c6365da577c69d9cf21903aba2b819.jpg,259.6,1,Bukan_Elco,0.945,"[430,375,818,611]",0.0,0.0,+0.0,+0.0,DIAM,BUKAN ELCO (REJECT),ABAIKAN / REJECT,"K0,S0.0,R0.0"
9,BU354E-1_PNG.rf.0e091d406cc1ee644485c1d47e760b91.jpg,274.5,1,Bukan_Elco,0.816,"[47,209,285,609]",0.0,0.0,+0.0,+0.0,DIAM,BUKAN ELCO (REJECT),ABAIKAN / REJECT,"K0,S0.0,R0.0"
10,BU3770-1_PNG.rf.221fc9fa96792118bc7e4acd14174b6a.jpg,235.0,1,Bukan_Elco,0.871,"[36,0,1436,894]",0.0,0.0,+0.0,+0.0,DIAM,BUKAN ELCO (REJECT),ABAIKAN / REJECT,"K0,S0.0,R0.0"
